機種,台番,差枚,G数,出率,BB,RB,合成
パチスロ 転生したら剣でした,3179,-301,500,79.9%,-,-,-
Lパチスロからくりサーカス,3052,-301,242,58.5%,-,-,-
L真・一騎当千,3185,-301,489,79.5%,-,-,-
マイジャグラーV,2011,-301,"3,463",97.1%,12,9,1/165
Lゴジラ,3170,-301,612,83.6%,-,-,-
ゴーゴージャグラー３,2082,-301,"3,633",97.2%,14,12,1/140
Lラブ嬢3～Wご指名はいかがですか?～,3171,-302,518,80.6%,-,-,-
マタドールⅢ,2032,-303,"1,009",90%,-,-,-
L少女☆歌劇 レヴュースタァライト -The SLOT-,3137,-303,"1,059",90.5%,-,-,-
Lスマスロ北斗の拳,3123,-304,757,86.6%,5,2,1/108
Lスマスロ北斗の拳,3003,-304,420,75.9%,1,1,1/210
ジャグラーガールズSS,2074,-390,"1,859",93%,-,-,-
スマート沖スロ スターハナハナ,2181,-390,"6,990",98.1%,-,-,-
沖ドキ！BLACK,2138,-391,695,81.2%,-,-,-
LBパチスロ ヱヴァンゲリヲン～約束の扉～,2038,-392,402,67.5%,-,-,-
SアイムジャグラーＥＸ,2065,-392,853,84.7%,2,2,1/213
A-SLOT+ ディスクアップ ULTRAREMIX,2028,-394,333,60.6%,0,1,1/333
ファンキージャグラー２ＫＴ,2108,-394,"1,389",90.5%,4,2,1/232
スマスロ モンスターハンターライズ,3074,-395,466,71.7%,-,-,-
ハッピージャグラーＶＩＩＩ,2018,-396,581,77.3%,1,0,1/581
沖ドキ！ＧＯＬＤ-30,2162,-396,"1,438",90.8%,-,-,-
マイジャグラーV,2005,-396,"1,778",92.6%,6,2,1/222
マイジャグラーV,2004,-397,"1,487",91.1%,4,1,1/297
ゴーゴージャグラー３,2088,-397,457,71%,0,1,1/457
SアイムジャグラーＥＸ,2056,-398,437,69.6%,0,1,1/437
キングハナハナ-30,2144,-398,"6,971",98.1%,-,-,-
キングハナハナ-30,2145,-398,"6,086",97.8%,-,-,-
Lスマスロ北斗の拳,3001,-398,620,78.6%,3,1,1/155
