機種,台番,差枚,G数,出率,BB,RB,合成
L東京喰種,631,"-2,330","8,657",91%,-,-,-
スマスロ ゴッドイーター リザレクション,719,"-2,490","4,936",83.2%,-,-,-
Lスマスロ北斗の拳,735,"-2,520","3,888",78.4%,18,7,1/156
スマスロモンキーターンV,653,"-2,530","3,784",77.7%,-,-,-
L ToLOVEるダークネス TRANCE ver.8.7,836,"-2,550","7,980",89.3%,-,-,-
沖ドキ!ゴージャス 25Φ,602,"-2,560","7,222",88.2%,-,-,-
L戦国乙女４　戦乱に閃く炯眼の軍師,840,"-2,580","1,810",52.5%,-,-,-
スマスロ シャーマンキング,625,"-2,670","3,334",73.3%,-,-,-
スマスロモンキーターンV,654,"-2,710","3,633",75.1%,-,-,-
スマスロモンキーターンV,663,"-2,740","6,102",85%,-,-,-
Lパチスロ 機動戦士ガンダムSEED,784,"-2,850","2,953",67.8%,-,-,-
スマスロ スーパーブラックジャック,822,"-2,960","6,570",85%,-,-,-
いざ！番長,791,"-3,040","8,111",87.5%,-,-,-
Lパチスロ かぐや様は告らせたい,684,"-3,080","5,117",79.9%,-,-,-
スマスロモンキーターンV,652,"-3,090","6,908",85.1%,-,-,-
Lパチスロからくりサーカス,692,"-3,130","2,345",55.5%,-,-,-
吉宗,787,"-3,270","8,910",87.8%,-,-,-
Lパチスロからくりサーカス,691,"-3,270","3,841",71.6%,-,-,-
吉宗,788,"-3,330","7,298",84.8%,-,-,-
スマスロ スーパーブラックジャック,821,"-3,390","6,606",82.9%,-,-,-
スマスロ 緑ドン VIVA!情熱南米編 REVIVAL,820,"-3,400","4,973",77.2%,-,-,-
スマスロ デビルメイクライ5 スタイリッシュトライブ,800,"-3,550","5,765",79.5%,-,-,-
Lパチスロからくりサーカス,694,"-3,580","3,705",67.8%,-,-,-
スマスロ デビルメイクライ5 スタイリッシュトライブ,802,"-3,600","5,231",77.1%,-,-,-
Lパチスロからくりサーカス,709,"-3,650","3,678",66.9%,-,-,-
Lパチスロ かぐや様は告らせたい,668,"-3,720","8,082",84.7%,-,-,-
スマスロ デビルメイクライ5 スタイリッシュトライブ,804,"-3,730","4,913",74.7%,-,-,-
Lパチスロからくりサーカス,712,"-3,750","4,261",70.7%,-,-,-
スマスロ 緑ドン VIVA!情熱南米編 REVIVAL,817,"-3,790","4,991",74.7%,-,-,-
Lパチスロからくりサーカス,689,"-3,960","4,231",68.8%,-,-,-
いざ！番長,792,"-4,010","6,758",80.2%,-,-,-
Lパチスロ かぐや様は告らせたい,667,"-4,520","6,934",78.3%,-,-,-
L東京喰種,638,"-5,040","5,497",69.4%,-,-,-
L ToLOVEるダークネス TRANCE ver.8.7,835,"-5,150","7,409",76.8%,-,-,-
